soilType,plotCluster ,wine,flavorType,sensoryFlavor,judgeNumber,ratioFlavorJudge
sandySilty,57,2017_VDQA_G5_57_B,olfactory,œuf rot,2,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,œuf rot,2,NaN
sandySilty,57,2017_VDQA_G5_57_B,olfactory,reduced,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,reduced,1,NaN
sandySilty,57,2017_VDQA_G5_57_B,olfactory,ventilated(oxidised),1,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,ventilated(oxidised),1,NaN
sandySilty,57,2017_VDQA_G5_57_B,olfactory,plastic,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,plastic,1,NaN
sandySilty,57,2017_VDQA_G5_57_B,olfactory,mouldy,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,mouldy,1,NaN
sandySilty,57,2017_VDQA_G5_57_B,taste,acid,5,NaN
sandySilty,57,2017_VDQA_G9_57_B,taste,acid,5,1.00
sandySilty,57,2017_VDQA_G5_57_B,taste,persistent,5,0.40
sandySilty,57,2017_VDQA_G9_57_B,taste,persistent,5,0.60
sandySilty,57,2017_VDQA_G5_57_B,taste,sweetness,4,1.00
sandySilty,57,2017_VDQA_G9_57_B,taste,sweetness,4,0.25
sandySilty,57,2017_VDQA_G5_57_B,taste,aromatic,4,0.25
sandySilty,57,2017_VDQA_G9_57_B,taste,aromatic,4,0.75
sandySilty,57,2017_VDQA_G5_57_B,taste,balanced,3,NaN
sandySilty,57,2017_VDQA_G9_57_B,taste,balanced,3,1.00
sandySilty,57,2017_VDQA_G5_57_B,taste,bitterness,2,0.50
sandySilty,57,2017_VDQA_G9_57_B,taste,bitterness,2,0.50
sandySilty,57,2017_VDQA_G5_57_B,taste,fat,2,1.00
sandySilty,57,2017_VDQA_G9_57_B,taste,fat,2,NaN
sandySilty,57,2017_VDQA_G5_57_B,taste,muscat,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,taste,muscat,1,NaN
sandySilty,57,2017_VDQA_G5_57_B,taste,dilute,2,0.50
sandySilty,57,2017_VDQA_G9_57_B,taste,dilute,2,0.50
sandySilty,57,2017_VDQA_G5_57_B,taste,alcohol,1,NaN
sandySilty,57,2017_VDQA_G9_57_B,taste,alcohol,1,1.00
sandySilty,57,2017_VDQA_G5_57_B,taste,mouldy,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,taste,mouldy,1,NaN
